DAP,PAGO,ING,NE,EDAD,HABITA,PERT,IMPOR
0,8000,2500000,3,52,0,0,0
0,1000,300000,1,54,1,0,0
1,3000,620000,4,26,1,0,1
1,8000,2500000,4,33,1,0,1
0,4000,1500000,4,25,1,0,1
0,3000,800000,4,47,1,0,1
1,500,150000,3,35,1,0,1
0,5000,1000000,4,43,1,0,0
1,4000,1150000,3,54,0,0,1
0,2000,500000,3,30,1,0,1
0,500,170000,3,45,1,0,1
1,2000,600000,3,54,1,0,1
1,1000,300000,3,39,0,0,0
1,2000,300000,3,44,1,0,1
1,3000,800000,3,32,1,0,1
0,5000,1000000,4,25,1,0,0
0,4000,1300000,2,23,1,1,1
1,5000,2000000,4,51,1,0,1
0,1000,300000,4,45,1,0,1
1,2000,300000,4,38,1,0,1
1,3000,600000,2,47,1,0,1
1,3000,700000,3,23,0,0,0
1,1000,280000,3,30,1,1,1
1,1000,300000,3,47,1,0,0
1,2000,900000,2,45,1,0,1
1,2000,400000,1,32,1,0,0
1,3000,770000,4,25,1,1,1
1,2000,700000,4,43,1,0,1
1,500,200000,3,33,1,0,0
1,1000,220000,2,38,0,0,0
1,2000,490000,3,31,1,0,1
1,3000,500000,3,47,1,0,1
0,1000,250000,3,28,1,0,1
1,1000,230000,4,43,1,0,0
1,500,200000,2,29,0,0,0
1,500,600000,2,29,1,0,1
1,500,170000,2,28,1,0,1
1,500,190000,2,30,1,0,1
1,4000,600000,2,52,1,0,0
1,4000,450000,3,41,0,1,0
1,4000,600000,4,44,1,0,1
0,8000,3800000,4,50,1,0,1
1,5000,800000,2,54,1,0,1
0,1000,250000,1,25,1,0,0
1,5000,1200000,1,27,1,0,0
0,8000,350000,1,35,0,0,0
1,8000,800000,4,40,1,0,1
0,8000,830000,4,45,1,0,1
1,1000,1500000,3,56,0,0,1
1,2000,800000,3,36,1,0,1
1,500,150000,2,58,1,1,1
1,1000,1000000,2,56,0,0,1
1,5000,1150000,3,49,0,0,1
0,1000,500000,2,65,1,0,1
0,500,170000,2,34,0,0,0
0,1000,600000,3,46,1,0,1
1,1000,500000,4,47,1,0,1
1,500,170000,1,58,1,0,1
1,1000,600000,2,36,1,0,1
0,1000,300000,1,47,0,0,1
0,1000,300000,3,48,0,0,1
1,1000,800000,3,56,1,0,1
1,3000,1000000,4,54,1,0,1
0,5000,1300000,4,53,0,0,1
1,3000,2000000,3,67,0,1,1
0,1000,300000,2,45,0,1,0
0,1000,300000,1,32,0,0,1
0,3000,600000,2,25,0,0,1
0,3000,700000,3,23,0,0,1
0,1000,280000,1,51,1,0,1
0,1000,300000,2,45,1,0,0
1,3000,900000,2,38,0,0,1
0,4000,100000,2,47,1,0,1
1,5000,1150000,2,23,1,0,1
0,1000,500000,3,30,1,0,1
1,500,170000,3,47,1,0,1
1,1000,600000,2,45,0,0,1
0,2000,300000,3,32,1,0,1
0,2000,300000,1,25,1,0,0
1,3000,800000,3,43,0,0,1
1,3000,1000000,3,33,1,0,1
1,2000,1300000,4,38,1,0,1
0,3000,2000000,3,31,0,0,1
1,1000,300000,2,47,1,0,1
0,1000,300000,3,28,1,0,1
1,1000,600000,3,43,1,0,0
1,1000,700000,4,29,0,0,1
1,1000,280000,2,29,0,0,1
0,2000,300000,2,28,0,0,1
0,3000,900000,1,30,1,0,0
0,1000,300000,3,52,1,0,1
0,3000,800000,4,41,1,1,1
0,3000,1000000,3,44,0,0,0
0,5000,1300000,3,50,1,0,1
1,3000,2000000,3,54,0,0,1
0,1000,300000,2,25,1,0,1
0,1000,300000,1,27,1,0,0
0,1000,600000,3,35,1,0,1
1,1000,700000,4,40,1,0,0
0,1000,280000,3,54,1,0,1
0,1000,300000,3,26,0,0,0
1,2000,900000,4,33,0,0,1
1,1000,400000,3,25,0,0,0
1,2000,770000,4,47,1,0,1
1,2000,700000,3,35,1,0,0
1,500,200000,3,43,1,0,0
1,500,220000,2,54,0,0,0
1,2000,490000,3,30,0,0,0
0,2000,500000,3,45,0,0,0
1,500,250000,1,54,0,0,0
0,500,230000,2,39,1,0,0
1,500,200000,1,44,1,0,0
1,2000,600000,3,32,0,0,0
1,3000,600000,2,25,0,0,1
0,3000,700000,2,23,0,0,0
0,1000,280000,3,51,1,0,1
0,500,300000,1,45,1,0,0
1,2000,900000,3,38,1,0,0
1,2000,1000000,2,47,1,0,1
1,3000,1150000,3,23,0,0,1
0,3000,500000,3,30,1,0,1
0,500,170000,2,33,1,0,0
0,1000,600000,2,25,1,0,1
1,2000,1000000,3,47,1,0,1
1,3000,1150000,2,35,1,0,1
1,1000,500000,2,43,1,0,1
1,500,170000,3,54,0,0,1
1,500,600000,2,30,0,0,1
0,500,300000,3,45,0,0,1
0,500,300000,2,54,0,0,1
1,500,800000,3,39,0,0,1
0,3000,1000000,3,44,0,0,1
1,4000,1300000,4,32,0,0,1
0,4000,2000000,3,25,0,0,1
1,1000,300000,1,23,1,0,1
0,1000,300000,1,51,1,0,1
0,2000,600000,2,45,1,0,1
0,5000,700000,2,56,1,0,1
0,1000,280000,2,34,1,0,1
0,1000,300000,2,53,1,0,1
0,2000,900000,3,42,1,1,1
1,1000,400000,2,41,1,0,1
1,2000,770000,2,56,0,0,1
1,2000,700000,3,65,1,0,1
1,500,200000,2,43,1,0,1
0,500,220000,3,54,1,0,1
0,1000,490000,3,35,1,0,1
0,2000,500000,2,62,1,0,1
0,500,250000,2,27,1,0,1
1,500,230000,1,26,1,0,1
0,500,200000,2,47,1,0,1
0,8000,2500000,4,28,1,0,1
1,500,300000,1,29,0,0,1
1,3000,620000,3,56,0,0,1
1,8000,2500000,4,54,1,0,1
0,3000,1500000,3,63,0,0,1
1,1000,800000,3,48,0,0,1
0,500,150000,1,27,1,0,1
1,3000,1000000,3,32,1,0,1
0,8000,1150000,3,26,0,0,0
1,1000,500000,3,25,0,0,1
0,500,170000,2,27,1,0,0
0,1000,600000,3,35,1,0,1
0,2000,300000,3,45,1,0,1
0,1000,300000,2,36,1,0,1
1,2000,800000,3,58,1,0,1
1,3000,1000000,3,54,1,0,1
1,4000,1300000,2,26,0,0,1
1,2000,2000000,4,33,1,0,1
1,500,300000,2,25,1,0,1
1,2000,300000,3,47,1,0,1
0,2000,600000,3,35,0,0,1
0,2000,700000,4,43,1,0,1
0,1000,280000,1,54,1,0,1
1,2000,300000,1,30,0,0,1
1,3000,900000,3,45,1,0,1
1,1000,400000,3,54,0,0,1
1,2000,770000,4,39,1,0,1
1,3000,700000,2,44,1,0,1
0,1000,200000,2,32,1,0,0
1,1000,220000,3,25,1,0,1
1,2000,490000,4,23,0,0,1
1,1000,500000,2,51,1,0,1
0,2000,250000,2,45,0,0,1
1,1000,230000,1,38,0,0,0
1,2000,200000,1,47,1,0,1
1,3000,600000,2,23,1,0,0
1,500,170000,2,30,0,0,1
1,500,190000,2,47,1,0,1
1,5000,600000,1,45,0,0,1
0,4000,450000,3,32,1,0,0
0,2000,600000,2,25,0,0,1
0,8000,3800000,3,43,0,1,1
1,3000,800000,4,33,1,0,1
1,1000,250000,2,38,1,0,1
1,4000,1200000,4,31,1,0,1
1,2000,350000,3,47,1,1,0
0,2000,800000,1,28,0,0,1
0,3000,830000,4,43,0,0,1
0,5000,1500000,3,29,1,1,1
0,3000,800000,3,29,1,0,1
0,500,150000,1,28,1,0,1
0,3000,1000000,3,30,1,0,1
0,5000,1150000,2,52,1,0,1
0,2000,500000,3,41,0,0,0
1,1000,170000,2,36,1,0,1
0,8000,600000,3,58,1,0,0
1,4000,500000,2,54,1,0,1
0,1000,170000,1,26,1,0,1
0,3000,600000,1,33,0,0,0
0,500,300000,1,25,0,0,1
1,1000,300000,3,47,0,0,1
1,500,800000,4,35,1,1,1
1,4000,1000000,2,43,1,0,1
1,5000,1300000,3,65,0,0,1
1,5000,2000000,4,43,0,0,1
0,5000,300000,1,54,1,0,0
1,1000,300000,3,35,1,0,1
0,3000,600000,2,62,1,0,1
0,3000,700000,3,27,0,0,1
0,1000,280000,1,26,0,0,1
1,1000,300000,2,47,0,0,1
1,3000,900000,3,28,0,0,1
1,5000,1000000,3,29,0,0,0
1,4000,1150000,4,56,0,0,1
1,3000,500000,3,54,1,0,0
1,1000,170000,2,63,1,0,0
1,2000,600000,2,48,0,0,1
0,1000,300000,1,27,0,0,1
1,2000,300000,4,32,1,0,1
0,2000,800000,3,26,0,0,1
0,3000,1000000,4,25,0,0,1
1,4000,1300000,3,27,0,0,1
1,5000,2000000,3,29,1,0,1
0,2000,300000,1,45,1,0,0
0,2000,300000,3,47,0,0,0
0,3000,600000,1,56,1,1,1
1,2000,700000,3,43,1,0,0
1,500,280000,2,32,0,0,0
1,1000,300000,1,35,0,0,1
1,2000,900000,3,39,1,0,1
1,1000,300000,1,45,1,1,1
0,2000,800000,3,56,1,0,0
0,3000,1000000,3,45,1,1,1
0,5000,1300000,2,78,0,0,1
1,5000,1500000,3,35,1,0,1
1,500,800000,4,54,0,0,1
0,500,150000,2,37,1,0,1
1,3000,1000000,2,67,1,0,1
0,4000,1150000,3,54,0,0,1
1,2000,500000,1,34,1,0,0
0,500,170000,,23,1,0,0
1,2000,800000,3,56,1,0,0
